feature,mean_abs_shap
match_time_sec,4.962635
total_rounds,0.5455307
combined_avg_fight_time,0.07831172
style_edge_ko_finisher_vs_decision_technician,0.059132382
combined_ewm_avg_fight_time,0.033036727
older_fighter_age,0.028955635
combined_ewm_finish_pressure,0.028662266
weight_diff,0.028352587
recent_form_recent_avg_fight_time_diff,0.026179457
height_diff,0.023859369
str_def_diff,0.022347946
style_all_round_finisher_score_abs_diff,0.022040455
ewm_elo_diff,0.017984195
style_edge_ko_finisher_vs_decision_technician_reverse,0.016794952
style_edge_control_wrestler_vs_ko_finisher_reverse,0.016346684
recent_form_days_since_last_fight_diff,0.015475619
age_diff,0.012029085
ewm_days_since_last_fight_diff,0.011700691
combined_ewm_finish_rate,0.011500473
reach_mismatch_abs,0.010551893
recent_form_win_streak_diff,0.0102370335
wrestling_mismatch_x_avg_opp_elo,0.009691792
style_edge_control_wrestler_vs_ko_finisher,0.009682032
recent_form_recent_sapm_diff,0.008825216
combined_finish_pressure,0.008577941
style_submission_grappler_score_abs_diff,0.008535452
grappling_edge_x_avg_opp_elo,0.008296713
style_edge_decision_technician_vs_submission_grappler_reverse,0.008232767
style_control_wrestler_score_diff,0.007631699
ewm_recent_td_avg_diff,0.0075079445
style_control_wrestler_score_abs_diff,0.006997316
striking_edge_x_avg_opp_elo,0.006850061
combined_ewm_finish_loss_rate,0.0067898626
title_fight,0.006287598
elo_diff,0.006259725
recent_form_recent_splm_diff,0.006112002
height_mismatch_abs,0.005881693
ewm_str_acc_diff,0.0053830333
age_squared_diff,0.0053205355
style_decision_technician_score_abs_diff,0.0049603893
recent_form_avg_opponent_elo_diff,0.004837418
recent_form_sapm_diff,0.0046086297
recent_td_avg_diff,0.0045969626
chin_risk_diff,0.004433714
combined_finish_loss_rate,0.0041103153
recent_form_recent_td_avg_diff,0.0039112237
ewm_sapm_diff,0.003863526
recent_form_str_def_diff,0.0036830867
ewm_best_win_elo_diff,0.0036001983
recent_form_wins_diff,0.0035422787
reach_striking_combo,0.0034939314
str_acc_diff,0.0034343705
grappling_edge_x_ewm_avg_opp_elo,0.0033840518
recent_form_avg_fight_time_diff,0.0033822642
recent_form_ctrl_per_min_diff,0.0033284952
wrestling_pressure_vs_defense,0.003196724
recent_splm_diff,0.0030848365
experience_ratio_diff,0.0028623627
testfeature,0.002787149
striking_edge,0.0027150149
recent_form_ctrl_against_per_min_diff,0.002637308
ewm_str_def_diff,0.0026219378
best_win_elo_diff,0.002620325
recent_form_td_def_diff,0.002558336
recent_form_kd_avg_diff,0.0025143095
ewm_ko_rate_diff,0.0025064265
recent_form_worst_loss_elo_diff,0.0024149453
decision_win_rate_diff,0.0022606382
reach_diff,0.0022605776
ewm_recent_sapm_diff,0.0022376212
ewm_decision_win_rate_diff,0.0022151768
recent_form_recent_win_pct_diff,0.0021156496
ewm_wins_diff,0.002114111
recent_form_best_win_elo_diff,0.0020403592
aggression_index_diff,0.0019815618
recent_form_sub_avg_diff,0.00197891
wrestling_mismatch_diff,0.0019741876
style_edge_decision_technician_vs_submission_grappler_net,0.0019465664
ewm_avg_fight_time_diff,0.0019096436
style_primary_score_diff,0.0019031953
ewm_recent_win_pct_diff,0.0018980989
ewm_td_def_diff,0.0018695218
td_def_diff,0.0018667331
ewm_fights_diff,0.0018631355
style_edge_control_wrestler_vs_ko_finisher_net,0.0018575344
ewm_decision_loss_rate_diff,0.0018546523
ewm_win_pct_diff,0.0017939439
ewm_ctrl_per_min_diff,0.0017873581
recent_form_elo_diff,0.0017586767
style_decision_technician_score_diff,0.0017365743
style_edge_decision_technician_vs_submission_grappler,0.0017343466
ctrl_against_per_min_diff,0.0017019368
ewm_recent_avg_fight_time_diff,0.0016541652
ewm_td_avg_diff,0.0016496385
striking_edge_x_ewm_avg_opp_elo,0.0015535653
recent_form_loss_streak_diff,0.001550248
ewm_kd_avg_diff,0.0015405109
win_pct_diff,0.0014724046
worst_loss_elo_diff,0.0014444572
avg_opponent_elo_diff,0.0014078611
