feature,mean_abs_shap
recent_form_recent_td_avg_diff,0.060642082
recent_form_recent_avg_fight_time_diff,0.057781104
striking_edge_x_avg_opp_elo,0.057362758
recent_form_ko_rate_diff,0.054375213
recent_form_days_since_last_fight_diff,0.050569333
recent_form_kd_avg_diff,0.050317083
wrestling_mismatch_x_avg_opp_elo,0.0453302
total_rounds,0.04277287
combined_finish_pressure,0.036062345
older_fighter_age,0.035270546
td_acc_diff,0.035193462
age_squared_diff,0.033291813
ewm_recent_td_avg_diff,0.03281882
recent_form_sub_win_rate_diff,0.030290583
ewm_str_def_diff,0.030045854
style_edge_ko_finisher_vs_decision_technician_reverse,0.027901052
combined_ewm_finish_rate,0.023178054
recent_form_td_def_diff,0.021465007
ewm_sub_win_rate_diff,0.021092072
combined_ewm_finish_pressure,0.020571833
weight_diff,0.020391975
sub_win_rate_diff,0.019359918
style_all_round_finisher_score_abs_diff,0.01885018
ewm_str_acc_diff,0.018518664
recent_form_sapm_diff,0.01826575
recent_form_td_acc_diff,0.01821236
kd_avg_diff,0.018016046
style_edge_decision_technician_vs_submission_grappler_net,0.017925365
recent_form_kd_absorbed_avg_diff,0.017542612
style_edge_control_wrestler_vs_ko_finisher_reverse,0.016903888
recent_form_loss_streak_diff,0.01644039
age_diff,0.01595565
recent_form_recent_finish_rate_diff,0.014331706
grappling_edge,0.014175495
ctrl_per_min_diff,0.014043739
style_edge_control_wrestler_vs_ko_finisher_net,0.013718108
ewm_td_def_diff,0.013387543
recent_form_recent_sapm_diff,0.013380677
striking_edge,0.012885635
ewm_kd_absorbed_avg_diff,0.012551481
testfeature,0.012046834
recent_form_avg_fight_time_diff,0.011621987
style_control_wrestler_score_abs_diff,0.011479487
grappling_edge_x_ewm_avg_opp_elo,0.011138708
recent_form_decision_win_rate_diff,0.011080855
style_ko_finisher_score_abs_diff,0.011027604
recent_form_recent_splm_diff,0.010915366
older_fighter_career_ko_losses,0.010885883
style_edge_ko_finisher_vs_decision_technician_net,0.010832915
height_diff,0.010750833
recent_form_ctrl_per_min_diff,0.010644936
ewm_finish_rate_diff,0.01043465
ewm_recent_sapm_diff,0.010292517
recent_form_worst_loss_elo_diff,0.010179927
style_edge_decision_technician_vs_submission_grappler,0.010148611
ewm_recent_finish_rate_diff,0.010034004
recent_form_ctrl_against_per_min_diff,0.009855514
ewm_worst_loss_elo_diff,0.009827114
ko_recovery_gap,0.009809774
recent_form_best_win_elo_diff,0.009725616
str_def_diff,0.009719895
ewm_ctrl_against_per_min_diff,0.009543312
striking_edge_x_ewm_avg_opp_elo,0.009428994
reach_mismatch_abs,0.009082276
style_edge_ko_finisher_vs_decision_technician,0.008862391
days_since_last_ko_loss_diff,0.008771597
wrestling_mismatch_diff,0.008684114
recent_form_sub_avg_diff,0.008508765
recent_form_avg_opponent_elo_diff,0.008430546
style_submission_grappler_score_abs_diff,0.008415343
ewm_fights_diff,0.008008342
combined_ewm_finish_loss_rate,0.007979845
ewm_sapm_diff,0.007943288
age_x_career_ko_losses_diff,0.007912619
style_primary_score_diff,0.007841155
grappling_edge_x_avg_opp_elo,0.0076004076
style_score_spread_diff,0.007573056
ewm_ctrl_per_min_diff,0.0075171236
sapm_diff,0.007298016
recent_form_elo_diff,0.0072453246
recent_form_finish_loss_rate_diff,0.0072400747
style_decision_technician_score_abs_diff,0.0071809236
combined_recent_ko_losses_3,0.007133108
ewm_recent_splm_diff,0.0071050352
ctrl_against_per_min_diff,0.00697772
sub_avg_diff,0.006967542
height_mismatch_abs,0.0069259456
elo_diff,0.006907063
ewm_decision_loss_rate_diff,0.0068803085
submission_mismatch_diff,0.00685867
reach_striking_combo,0.0068583726
avg_opponent_elo_diff,0.006697573
ewm_avg_opponent_elo_diff,0.0066208243
recent_form_decision_loss_rate_diff,0.006605417
recent_form_str_def_diff,0.006558894
td_def_diff,0.0064455993
ewm_splm_diff,0.0064269435
ewm_wins_diff,0.0063773994
recent_form_recent_win_pct_diff,0.0062535675
ewm_avg_fight_time_diff,0.005993085
recent_splm_diff,0.0059114373
ewm_sub_avg_diff,0.0058809984
finish_volatility,0.00586528
style_edge_control_wrestler_vs_ko_finisher,0.005842492
