bucket,bucket_min_prob,bucket_max_prob,fight_count,avg_predicted_confidence,actual_win_rate,calibration_error,accuracy,avg_raw_probability,positive_pick_rate
0.50-0.55,0.5,0.55,786,0.5233744736437478,0.5038167938931297,-0.019557679750618062,0.5038167938931297,0.4882517494887125,41.0941475826972
0.55-0.60,0.55,0.6,418,0.5741995124836815,0.5909090909090909,0.016709578425409433,0.5909090909090909,0.4874783934624881,50.47846889952153
0.60-0.65,0.6,0.65,598,0.6284706221470728,0.6187290969899666,-0.009741525157106246,0.6187290969899666,0.539099382435392,61.20401337792642
0.65-0.70,0.65,0.7,182,0.6847103238870703,0.7252747252747253,0.040564401387654936,0.7252747252747253,0.3243882387844135,2.7472527472527473
0.70-0.75,0.7,0.75,410,0.7222672090799187,0.7292682926829268,0.007001083603008107,0.7292682926829268,0.5568455834332552,61.70731707317073
0.75-0.80,0.75,0.8,42,0.7600697510277084,0.5952380952380952,-0.16483165578961312,0.5952380952380952,0.6291173700753274,73.80952380952381
0.80-0.85,0.8,0.85,48,0.833077885706476,0.7291666666666666,-0.10391121903980938,0.7291666666666666,0.2914112190398093,18.75
0.85-0.90,0.85,0.9,9,0.8779655226941593,0.5555555555555556,-0.3224099671386037,0.5555555555555556,0.7929084871010614,88.88888888888889
0.90-0.95,0.9,0.95,21,0.9246155170219889,0.6190476190476191,-0.3055678979743698,0.6190476190476191,0.31835003270096707,28.57142857142857
0.95-1.00,0.95,1.0,30,0.9988713557266206,0.6666666666666666,-0.33220468905995393,0.6666666666666666,0.6011274442733792,60.0
