bucket,bucket_min_prob,bucket_max_prob,fight_count,avg_predicted_confidence,actual_win_rate,calibration_error,accuracy,avg_raw_probability,positive_pick_rate
0.50-0.55,0.5,0.55,521,0.5244007565924851,0.4875239923224568,-0.036876764270028284,0.4875239923224568,0.49828302791617424,48.17658349328215
0.55-0.60,0.55,0.6,449,0.5748039489997787,0.512249443207127,-0.06255450579265176,0.512249443207127,0.49965482266549277,49.44320712694877
0.60-0.65,0.6,0.65,402,0.6231494425096322,0.6094527363184079,-0.013696706191224317,0.6094527363184079,0.5058711437295326,52.736318407960205
0.65-0.70,0.65,0.7,380,0.674901789662085,0.6394736842105263,-0.03542810545155872,0.6394736842105263,0.503661379453383,51.31578947368421
0.70-0.75,0.7,0.75,306,0.7252788908925711,0.630718954248366,-0.09455993664420514,0.630718954248366,0.5061194511994817,51.307189542483655
0.75-0.80,0.75,0.8,227,0.7726349202415491,0.7004405286343612,-0.07219439160718788,0.7004405286343612,0.4853602335972933,47.136563876651984
0.80-0.85,0.8,0.85,138,0.8214364941569342,0.8043478260869565,-0.017088668069977664,0.8043478260869565,0.5210551058036693,53.62318840579711
0.85-0.90,0.85,0.9,85,0.8729109308298897,0.6941176470588235,-0.17879328377106618,0.6941176470588235,0.47857757947024177,47.05882352941176
0.90-0.95,0.9,0.95,31,0.9190499786167375,0.5483870967741935,-0.37066288184254403,0.5483870967741935,0.5385364790356928,54.83870967741935
0.95-1.00,0.95,1.0,5,0.9608115810900927,1.0,0.03918841890990732,1.0,0.585451016947627,60.0
