feature,mean_abs_shap
striking_edge,0.14242315
ewm_days_since_last_fight_diff,0.13571891
avg_opponent_elo_diff,0.10489294
age_x_career_ko_losses_diff,0.08642337
recent_form_avg_fight_time_diff,0.08408462
ewm_sapm_diff,0.082068935
elo_diff,0.07916015
pressure_striking_adv_diff,0.070686094
reach_diff,0.070181176
losses_diff,0.066643596
style_edge_control_wrestler_vs_ko_finisher_reverse,0.06566762
style_edge_control_wrestler_vs_ko_finisher,0.06481998
recent_form_sapm_diff,0.061378278
best_win_elo_diff,0.056903318
str_def_diff,0.05541125
ewm_elo_diff,0.055036888
td_acc_diff,0.05473599
wrestling_mismatch_diff,0.0524925
ewm_kd_avg_diff,0.04947742
victory_concentration_index_diff,0.048446283
days_since_last_fight_diff,0.047952592
style_edge_ko_finisher_vs_decision_technician_reverse,0.04792835
weight_diff,0.04574272
ewm_td_avg_diff,0.04528245
recent_form_kd_absorbed_avg_diff,0.04419081
style_edge_ko_finisher_vs_decision_technician,0.042761587
ctrl_against_per_min_diff,0.041576102
recent_form_avg_opponent_elo_diff,0.041406702
submission_mismatch_diff,0.041166548
td_avg_diff,0.04025697
chin_risk_diff,0.039026335
td_def_diff,0.039023694
decision_win_rate_diff,0.0389181
recent_form_best_win_elo_diff,0.036612652
style_edge_decision_technician_vs_submission_grappler_net,0.035176374
fights_diff,0.03495696
experience_ratio_diff,0.033144504
style_decision_technician_score_diff,0.03309835
ewm_win_pct_diff,0.032892246
style_edge_control_wrestler_vs_ko_finisher_net,0.03255937
recent_form_days_since_last_fight_diff,0.031954706
recent_form_elo_diff,0.03145392
style_control_wrestler_score_diff,0.029830147
recent_form_win_streak_diff,0.029352065
str_acc_diff,0.029025964
ko_win_concentration_diff,0.028993959
win_pct_diff,0.028871499
style_edge_decision_technician_vs_submission_grappler_reverse,0.028523281
sub_avg_diff,0.028501723
days_since_last_ko_loss_diff,0.028250264
kd_avg_diff,0.02703539
splm_diff,0.026887918
grappling_edge,0.026773522
kd_absorbed_avg_diff,0.02570442
style_edge_decision_technician_vs_submission_grappler,0.025415625
reach_striking_combo,0.025370618
style_all_round_finisher_score_diff,0.02522474
ewm_best_win_elo_diff,0.024233025
ctrl_per_min_diff,0.0239155
ewm_finish_rate_diff,0.02366004
recent_form_splm_diff,0.023191944
ewm_avg_fight_time_diff,0.02210081
style_submission_grappler_score_diff,0.021811804
style_edge_ko_finisher_vs_decision_technician_net,0.021713566
recent_form_td_avg_diff,0.021109607
ewm_avg_opponent_elo_diff,0.020506756
style_decision_technician_score_abs_diff,0.018717876
combined_ewm_avg_fight_time,0.01848281
wrestling_pressure_vs_defense,0.018268142
style_ko_finisher_score_abs_diff,0.018141177
wins_diff,0.01793667
style_submission_grappler_score_abs_diff,0.017868074
style_control_wrestler_score_abs_diff,0.016682161
older_fighter_career_ko_losses,0.016075684
ko_recovery_gap,0.015948664
sapm_diff,0.015760716
striking_edge_x_avg_opp_elo,0.015557821
avg_fight_time_diff,0.015523538
height_diff,0.01516987
style_flexibility_score_diff,0.015126472
submission_mismatch_x_avg_opp_elo,0.0148034785
recent_form_wins_diff,0.014761097
combined_avg_fight_time,0.014759644
grappling_edge_x_ewm_avg_opp_elo,0.01425396
style_all_round_finisher_score_abs_diff,0.014217518
style_ko_finisher_score_diff,0.0140799945
worst_loss_elo_diff,0.013838971
ewm_kd_absorbed_avg_diff,0.013556837
ewm_worst_loss_elo_diff,0.013497229
ewm_splm_diff,0.012649026
recent_form_worst_loss_elo_diff,0.011948569
striking_edge_x_ewm_avg_opp_elo,0.011656005
wrestling_mismatch_x_avg_opp_elo,0.011286337
decision_loss_rate_diff,0.011199279
combined_ewm_finish_rate,0.010425335
submission_win_concentration_diff,0.010302139
combined_ewm_finish_pressure,0.010060579
grappling_edge_x_avg_opp_elo,0.010058616
ko_dependency_abs_diff,0.009447983
ko_dependency_diff,0.009410443
combined_ewm_finish_loss_rate,0.0093821855
submission_dependency_diff,0.009207444
finish_loss_rate_diff,0.007970473
combined_finish_pressure,0.007556105
style_flexibility_score_abs_diff,0.0070059006
combined_finish_rate,0.006370666
decision_dependency_abs_diff,0.006248246
finish_dependency_abs_diff,0.0061919573
submission_dependency_abs_diff,0.006180333
height_mismatch_abs,0.0060816514
reach_mismatch_abs,0.0058200653
career_ko_losses_diff,0.0053763846
combined_finish_loss_rate,0.0050271447
recent_form_finish_rate_diff,0.004475768
finish_rate_diff,0.0043761665
decision_dependency_diff,0.00418839
max_career_ko_losses,0.0037589998
recent_form_win_pct_diff,0.0036112927
win_method_entropy_diff,0.0016272834
last_fight_ko_loss_diff,0.0015623635
win_method_entropy_abs_diff,0.0012775715
recent_ko_losses_3_diff,0.0011132447
finish_dependency_diff,0.0005278473
