feature,mean_abs_shap
striking_edge,0.16625187
ewm_days_since_last_fight_diff,0.07811616
ewm_ctrl_per_min_diff,0.07186089
ewm_loss_streak_diff,0.061599277
ewm_win_pct_diff,0.057216585
ewm_recent_avg_fight_time_diff,0.05048594
str_def_diff,0.03972656
recent_form_win_streak_diff,0.035931543
recent_form_str_acc_diff,0.026803132
recent_form_kd_absorbed_avg_diff,0.025286565
recent_form_recent_avg_fight_time_diff,0.024705803
rfs_suppress_ewm_opp_late_output_delta_diff,0.02409673
worst_loss_elo_diff,0.022221016
avg_opponent_elo_diff,0.020507105
ewm_str_def_diff,0.020363271
weight_diff,0.019752678
recent_form_avg_fight_time_diff,0.019346116
chin_risk_diff,0.019298295
recent_form_ctrl_per_min_diff,0.018772513
rfs_traj_ewm_control_seconds_slope_diff,0.018431118
recent_form_avg_opponent_elo_diff,0.018119115
recent_form_recent_splm_diff,0.014645916
sub_avg_diff,0.014113774
style_submission_grappler_score_diff,0.013997852
rfs_def_exp_late_head_damage_allowed_delta_diff,0.013586254
ewm_recent_splm_diff,0.013190552
ewm_sapm_diff,0.012854132
recent_form_recent_td_avg_diff,0.012383558
reach_striking_combo,0.011831073
ewm_kd_avg_diff,0.011016783
ewm_ko_rate_diff,0.010742057
rfs_suppress_last3_opp_distance_accuracy_delta_diff,0.010398289
rfs_traj_exp_td_accuracy_slope_diff,0.0100080175
recent_form_sub_win_rate_diff,0.009874979
kd_avg_diff,0.009835055
rfs_traj_ewm_td_attempt_slope_diff,0.009482668
recent_form_finish_loss_rate_diff,0.008868101
recent_form_ctrl_against_per_min_diff,0.008263308
striking_edge_x_ewm_avg_opp_elo,0.008173022
rfs_def_last3_late_total_damage_allowed_delta_diff,0.007840644
rfs_def_exp_opp_total_accuracy_allowed_slope_diff,0.0072109825
decision_dependency_abs_diff,0.0070712077
ewm_td_acc_diff,0.0068946565
rfs_suppress_exp_opp_phase_mix_disruption_diff,0.006890793
rfs_suppress_last3_opp_phase_mix_disruption_diff,0.0068029715
ko_dependency_abs_diff,0.006632657
recent_form_splm_diff,0.0065858536
ewm_td_def_diff,0.006490051
ewm_wins_diff,0.0062576453
rfs_wrestle_exp_td_persistence_score_diff,0.0059122853
sapm_diff,0.0057478272
rfs_wrestle_last3_sig_ground_strikes_per_control_min_diff,0.0052694827
ko_win_concentration_diff,0.004431537
submission_dependency_abs_diff,0.004343199
recent_form_sub_avg_diff,0.0043187896
rfs_def_ewm_late_td_defense_decay_diff,0.003740592
striking_edge_x_avg_opp_elo,0.0035068293
ewm_recent_sapm_diff,0.0034892107
rfs_def_exp_late_td_defense_decay_diff,0.0034808
recent_form_finish_rate_diff,0.0019185004
