feature,mean_abs_shap
style_control_wrestler_score_abs_diff,0.16052033
age_diff,0.14616963
age_squared_diff,0.12898925
striking_edge,0.11039941
style_decision_technician_score_abs_diff,0.08807431
str_def_diff,0.08803055
best_win_elo_diff,0.07342124
style_edge_control_wrestler_vs_ko_finisher_reverse,0.062859654
striking_edge_x_avg_opp_elo,0.062269155
ewm_days_since_last_fight_diff,0.0565424
style_edge_control_wrestler_vs_ko_finisher_net,0.052771818
ewm_ctrl_per_min_diff,0.050344225
ewm_win_streak_diff,0.050166693
str_acc_diff,0.049912494
ewm_recent_avg_fight_time_diff,0.049870033
ewm_decision_win_rate_diff,0.04766671
ewm_win_pct_diff,0.047055174
reach_diff,0.045914106
wrestling_mismatch_diff,0.04110469
ewm_td_acc_diff,0.04062503
chin_risk_diff,0.040332958
striking_edge_x_ewm_avg_opp_elo,0.03702805
pressure_striking_adv_diff,0.035576366
ewm_sapm_diff,0.03524478
days_since_last_fight_diff,0.034651723
style_edge_decision_technician_vs_submission_grappler_reverse,0.034184124
ewm_str_acc_diff,0.03330824
style_edge_ko_finisher_vs_decision_technician,0.032285634
grappling_edge,0.030181004
grappling_edge_x_avg_opp_elo,0.029229917
height_diff,0.02900001
aggression_index_diff,0.02866246
style_ko_finisher_score_diff,0.028495245
ewm_elo_diff,0.027466701
older_fighter_career_ko_losses,0.027432278
ewm_best_win_elo_diff,0.026645377
recent_avg_fight_time_diff,0.0266018
ctrl_per_min_diff,0.025538648
ewm_kd_avg_diff,0.024477577
style_submission_grappler_score_abs_diff,0.024415882
style_all_round_finisher_score_diff,0.024302391
style_decision_technician_score_diff,0.024263056
recent_td_avg_diff,0.02368233
ewm_wins_diff,0.022388268
td_acc_diff,0.022359325
ewm_str_def_diff,0.021991605
ewm_ctrl_against_per_min_diff,0.021285085
style_submission_grappler_score_diff,0.021280296
avg_opponent_elo_diff,0.021280222
style_edge_ko_finisher_vs_decision_technician_reverse,0.02090439
ewm_ko_rate_diff,0.020796584
kd_avg_diff,0.020559264
style_edge_decision_technician_vs_submission_grappler_net,0.020543354
weight_diff,0.020021157
avg_fight_time_diff,0.019275531
ewm_recent_win_pct_diff,0.019197963
kd_absorbed_avg_diff,0.017947419
sub_avg_diff,0.017770477
wrestling_mismatch_x_avg_opp_elo,0.017352825
ewm_worst_loss_elo_diff,0.017216932
recent_splm_diff,0.016965503
ewm_td_avg_diff,0.01665942
ewm_recent_td_avg_diff,0.015882669
worst_loss_elo_diff,0.015540053
elo_diff,0.015172094
td_avg_diff,0.014599941
style_edge_control_wrestler_vs_ko_finisher,0.014394116
style_score_spread_diff,0.014375537
ewm_loss_streak_diff,0.014360317
ewm_recent_sapm_diff,0.014343909
style_edge_ko_finisher_vs_decision_technician_net,0.014243163
ko_rate_diff,0.014201554
ko_recovery_gap,0.014095432
style_edge_decision_technician_vs_submission_grappler,0.01386788
ewm_td_def_diff,0.013841045
age_x_career_ko_losses_diff,0.013054884
ewm_recent_finish_rate_diff,0.012964466
ewm_decision_loss_rate_diff,0.012619234
ewm_splm_diff,0.012584222
wrestling_pressure_vs_defense,0.012461199
reach_striking_combo,0.012000276
ewm_losses_diff,0.011771169
max_career_ko_losses,0.011631372
style_ko_finisher_score_abs_diff,0.011427622
ewm_kd_absorbed_avg_diff,0.01141284
splm_diff,0.01108738
ewm_avg_fight_time_diff,0.010762929
recent_sapm_diff,0.009994236
ewm_sub_avg_diff,0.009930732
style_all_round_finisher_score_abs_diff,0.009927553
style_primary_score_diff,0.009787932
ewm_finish_loss_rate_diff,0.009465553
submission_mismatch_x_avg_opp_elo,0.009292824
sapm_diff,0.009055254
ewm_recent_splm_diff,0.008810163
ewm_fights_diff,0.008770464
finish_volatility,0.008599533
submission_mismatch_diff,0.00809931
win_streak_diff,0.008091755
days_since_last_ko_loss_diff,0.007767599
win_pct_diff,0.0071385717
grappling_edge_x_ewm_avg_opp_elo,0.0070613977
sub_win_rate_diff,0.006890777
finish_loss_rate_diff,0.006822602
experience_ratio_diff,0.006739331
recent_ko_losses_3_diff,0.0064940467
ctrl_against_per_min_diff,0.0061520846
ewm_sub_win_rate_diff,0.0061374465
td_def_diff,0.005131984
losses_diff,0.0051136445
decision_win_rate_diff,0.0050861943
style_control_wrestler_score_diff,0.0050217425
ewm_finish_rate_diff,0.004756862
ewm_avg_opponent_elo_diff,0.0046781665
wins_diff,0.003959286
decision_loss_rate_diff,0.0030771955
finish_rate_diff,0.0019640527
recent_win_pct_diff,0.0010270749
