feature,mean_abs_shap
style_control_wrestler_score_diff,0.20692964
style_all_round_finisher_score_diff,0.18692794
style_control_wrestler_score_abs_diff,0.16164075
style_decision_technician_score_abs_diff,0.12123548
style_edge_control_wrestler_vs_ko_finisher_reverse,0.11058766
style_submission_grappler_score_diff,0.10721652
style_edge_control_wrestler_vs_ko_finisher_net,0.08474211
style_edge_ko_finisher_vs_decision_technician,0.08127619
style_ko_finisher_score_diff,0.07568397
style_edge_ko_finisher_vs_decision_technician_reverse,0.0648421
style_decision_technician_score_diff,0.0623385
style_edge_decision_technician_vs_submission_grappler_net,0.060190946
style_edge_decision_technician_vs_submission_grappler_reverse,0.054877374
style_all_round_finisher_score_abs_diff,0.050133336
style_edge_decision_technician_vs_submission_grappler,0.04194722
style_ko_finisher_score_abs_diff,0.035347104
style_submission_grappler_score_abs_diff,0.034541376
style_edge_ko_finisher_vs_decision_technician_net,0.033778656
style_edge_control_wrestler_vs_ko_finisher,0.031128747
